,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-04-24,8530.0,2675.75,1370.47998046875,82.80999755859375,1.652999997138977,2.734299898147583,810.0,2600.75,8666.0,-0.19724786265107766,40.995834866199964,-2.792022792022797,103.57142857142857,-0.5802756394419859
2024-04-25,8520.0,2628.6201171875,1376.969970703125,83.56999969482422,1.6380000114440918,2.75819993019104,812.0,2526.0,8620.0,-0.350756438131561,40.616910333646835,-3.7288135593220306,86.42857142857143,-1.0042463173957827
2024-04-26,8660.0,2656.330078125,1371.699951171875,83.8499984741211,1.6139999628067017,2.7646000385284424,821.0,2554.75,8602.0,-0.33860919336846856,47.88012783155306,-4.83516483516484,91.42857142857143,-0.768211929522721
2024-04-29,8710.0,2687.43994140625,1377.0899658203125,82.62999725341797,2.0299999713897705,2.748699903488159,828.0,2566.0,8614.0,-0.2792733309972037,50.22183092646555,-3.1145717463848754,85.0,-0.28363314089076397
2024-04-30,8760.0,2692.06005859375,1374.6400146484375,81.93000030517578,1.9910000562667847,2.7107999324798584,813.0,2561.25,8636.0,-0.18369894521275476,52.519202163256345,-2.6666666666666616,83.21428571428571,0.25857028544874083
2024-05-01,8755.0,2687.85498046875,1385.4599609375,79.0,1.9320000410079956,2.577399969100952,810.0,2537.75,8681.0,-0.11136736479936814,52.259460351788334,-1.6292134831460636,78.21428571428571,0.13869257027410953
2024-05-02,8750.0,2683.64990234375,1375.0,78.94999694824219,2.0350000858306885,2.5964999198913574,810.0,2491.75,8727.0,-0.058046568736229084,51.98259641103099,0.0,60.714285714285715,-0.24113854686770253
2024-05-03,8730.0,2676.6298828125,1364.6400146484375,78.11000061035156,2.1419999599456787,2.5550999641418457,813.0,2512.25,8741.0,-0.03394416829111178,50.82274000482863,-0.22857142857143353,54.285714285714285,-0.692784135983203
2024-05-06,8767.5,2719.9275512695312,1355.050048828125,78.4800033569336,2.194999933242798,2.588200092315674,779.0,2554.25,8752.5,0.019637757337037653,52.942847386503736,1.3583815028901824,56.25,-0.4963860464410743
2024-05-07,8780.0,2734.360107421875,1352.1700439453125,78.37999725341797,2.2070000171661377,2.5434000492095947,785.0,2527.0,8756.5,0.07278127205490446,53.66000228192288,1.5028901734104094,50.0,-0.05273355104282729
2024-05-08,8730.0,2745.050048828125,1357.72998046875,78.98999786376953,2.187000036239624,2.5318000316619873,780.0,2503.75,8751.5,0.06786808582963229,50.35426555327711,2.3446658851113744,42.857142857142854,-0.18462720737601757
2024-05-09,8790.0,2712.139892578125,1361.93994140625,79.26000213623047,2.3010001182556152,2.541800022125244,785.0,2510.5,8759.5,0.11804828717580713,54.015245718058395,3.169014084507049,47.142857142857146,0.09638240661276853
2024-05-10,8830.0,2727.6298828125,1365.4000244140625,78.26000213623047,2.252000093460083,2.4997000694274902,780.0,2488.25,8779.5,0.1924391023253425,56.32740555448547,1.9630484988452546,42.857142857142854,0.5207606662797488
2024-05-13,8850.0,2727.2099609375,1370.1099853515625,79.12000274658203,2.38100004196167,2.510499954223633,781.0,2493.75,8796.0,0.2666141608511553,57.47864526917278,1.6073478760045834,44.285714285714285,0.9652098937544409
2024-05-14,8810.0,2730.340087890625,1363.7900390625,78.0199966430664,2.3440001010894775,2.4595999717712402,783.0,2491.5,8802.0,0.28518731898278166,54.39052167317016,0.5707762557077611,38.57142857142857,0.7411018601073209
