,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-04-18,73.8,3074.22509765625,7.237400054931641,82.7300033569336,1.7569999694824219,2.71370005607605,840.0,73.63,0.3217585055922555,62.14018755066505,1.0682004930156141,0.23142857142857512,1.2869854176539839
2024-04-19,74.0,3065.260986328125,7.236700057983398,83.13999938964844,1.7519999742507935,2.7102999687194824,843.0,73.86,0.3219434736629729,64.05296932180576,1.314348302300128,0.23142857142857512,1.346183824720022
2024-04-22,74.0,3044.594970703125,7.2393999099731445,82.8499984741211,1.7910000085830688,2.6854000091552734,843.0,73.964,0.3024396436692184,64.05296932180576,1.2311901504788114,0.21714285714286063,1.2480210071815812
2024-04-23,74.5,3021.97802734375,7.242499828338623,83.36000061035156,1.812000036239624,2.7253000736236572,843.0,74.08399999999999,0.3757302810375723,68.64590728753811,1.7759562841529908,0.25285714285714633,1.4125888538993472
2024-04-24,74.23,3044.822021484375,7.244500160217285,82.80999755859375,1.652999997138977,2.734299898147583,810.0,74.106,0.33749808619884913,63.89809122285332,1.5458276333789378,0.2707142857142892,1.033313077202127
2024-04-25,74.07,3052.89990234375,7.244200229644775,83.56999969482422,1.6380000114440918,2.75819993019104,812.0,74.16,0.2634699098658055,61.19693436353954,0.8441116405718097,0.28071428571429025,0.4660354342621602
2024-04-26,74.4,3088.635986328125,7.23859977722168,83.8499984741211,1.6139999628067017,2.7646000385284424,821.0,74.24000000000001,0.2745257596362832,64.5276006816695,2.1276595744680993,0.30000000000000526,0.5097822681265214
2024-04-29,75.0,3113.04296875,7.24459981918335,82.62999725341797,2.0299999713897705,2.748699903488159,828.0,74.44000000000001,0.38598811612133765,69.6315837419389,2.0685900925421885,0.33571428571428996,0.7995166757868013
2024-04-30,75.0,3104.824951171875,7.23769998550415,81.93000030517578,1.9910000562667847,2.7107999324798584,813.0,74.54,0.4229134271067846,69.63158374193891,1.4884979702300294,0.32857142857143223,0.8453610538490253
2024-05-01,74.96666666666667,3110.8074544270835,7.240699768066406,79.0,1.9320000410079956,2.577399969100952,810.0,74.68733333333333,0.4104127878240476,68.9919754263621,1.142291779096949,0.30595238095238386,0.46908274907002223
2024-05-02,74.93333333333334,3116.7899576822915,7.2399001121521,78.94999694824219,2.0350000858306885,2.5964999198913574,810.0,74.86,0.3718533354389836,68.31617870950095,1.5356820234869062,0.26547619047619264,-0.04567498916411594
2024-05-03,74.9,3122.7724609375,7.238399982452393,78.11000061035156,2.1419999599456787,2.5550999641418457,813.0,74.96,0.32148827240217676,67.60304910616348,1.216216216216215,0.2228571428571442,-0.5702872466995252
2024-05-06,74.8,3140.719970703125,7.236199855804443,78.4800033569336,2.194999933242798,2.588200092315674,779.0,74.91999999999999,0.25428001758450886,65.39752332492402,1.08108108108107,0.20000000000000182,-1.0512388750822375
2024-05-07,74.9,3147.738037109375,7.208000183105469,78.37999725341797,2.2070000171661377,2.5434000492095947,785.0,74.9,0.22245252627686465,66.57199094773887,0.5369127516778649,0.19142857142857395,-0.8342428253222351
2024-05-08,74.99,3128.47998046875,7.218400001525879,78.98999786376953,2.187000036239624,2.5318000316619873,780.0,74.90466666666666,0.20980139952367444,67.63665943682847,1.0238448066819172,0.1750000000000012,-0.3514496390274857
2024-05-09,74.88,3154.320068359375,7.223800182342529,79.26000213623047,2.3010001182556152,2.541800022125244,785.0,74.894,0.16791948877423396,64.91530054233498,1.0935601458080146,0.16857142857142954,-0.44017518654077037
2024-05-10,74.9,3154.547119140625,7.218699932098389,78.26000213623047,2.252000093460083,2.4997000694274902,780.0,74.894,0.13894438800897913,65.18954343689413,0.6720430107526987,0.1700000000000017,-0.11827425720159468
2024-05-13,74.93,3148.02099609375,7.225800037384033,79.12000274658203,2.38100004196167,2.510499954223633,781.0,74.92,0.12078531760018882,65.6236075334839,-0.09333333333332305,0.1364285714285732,0.3423465100009402
2024-05-14,74.94,3145.77392578125,7.2322998046875,78.0199966430664,2.3440001010894775,2.4595999717712402,783.0,74.928,0.10557906546005741,65.77679676252794,-0.08000000000000229,0.11785714285714428,0.8178416865837086
2024-05-15,74.95,3119.902099609375,7.2322998046875,78.62999725341797,2.4159998893737793,2.496799945831299,783.0,74.91999999999999,0.09290526656036754,65.94025020372173,-0.02223210315696056,0.10714285714285816,1.2561950145872345
